Date,Time of day,yes_price,fore_gen,hour,month,day,weekday,week,norm_yp,norm_fg,norm_hh,norm_mm,norm_dd,norm_ww
"26-May, 2018",10:00 AM,43.43,0.67,10,5,26,6,21,0.5847163068487786,0.8271604938271605,0.43478260869565216,0.36363636363636365,0.8333333333333334,0.8333333333333334
"26-May, 2018",11:00 AM,42.94,0.7,11,5,26,6,21,0.5823175209281833,0.8641975308641975,0.4782608695652174,0.36363636363636365,0.8333333333333334,0.8333333333333334
"26-May, 2018",12:00 PM,40.35,0.68,12,5,26,6,21,0.5696382239193225,0.8395061728395062,0.5217391304347826,0.36363636363636365,0.8333333333333334,0.8333333333333334
"26-May, 2018",1:00 PM,33.92,0.58,13,5,26,6,21,0.5381602780633477,0.7160493827160493,0.5652173913043478,0.36363636363636365,0.8333333333333334,0.8333333333333334
"26-May, 2018",2:00 PM,34.43,0.44,14,5,26,6,21,0.540656973613355,0.5432098765432098,0.6086956521739131,0.36363636363636365,0.8333333333333334,0.8333333333333334
"26-May, 2018",3:00 PM,36.33,0.3,15,5,26,6,21,0.5499583884075,0.37037037037037035,0.6521739130434783,0.36363636363636365,0.8333333333333334,0.8333333333333334
"26-May, 2018",4:00 PM,40.09,0.18,16,5,26,6,21,0.5683653987369659,0.2222222222222222,0.6956521739130435,0.36363636363636365,0.8333333333333334,0.8333333333333334
"26-May, 2018",5:00 PM,41.87,0.1,17,5,26,6,21,0.5770793557546385,0.12345679012345678,0.7391304347826086,0.36363636363636365,0.8333333333333334,0.8333333333333334
"26-May, 2018",6:00 PM,44.06,0.05,18,5,26,6,21,0.5878004601752583,0.06172839506172839,0.7826086956521738,0.36363636363636365,0.8333333333333334,0.8333333333333334
"26-May, 2018",7:00 PM,47.02,0.01,19,5,26,6,21,0.6022910853282422,0.012345679012345678,0.8260869565217391,0.36363636363636365,0.8333333333333334,0.8333333333333334
"26-May, 2018",8:00 PM,46.02,0.0,20,5,26,6,21,0.5973956038576396,0.0,0.8695652173913043,0.36363636363636365,0.8333333333333334,0.8333333333333334
"26-May, 2018",9:00 PM,45.18,0.0,21,5,26,6,21,0.5932833994223332,0.0,0.9130434782608695,0.36363636363636365,0.8333333333333334,0.8333333333333334
"26-May, 2018",10:00 PM,44.63,0.0,22,5,26,6,21,0.5905908846135018,0.0,0.9565217391304348,0.36363636363636365,0.8333333333333334,0.8333333333333334
"26-May, 2018",11:00 PM,40.59,0.0,23,5,26,6,21,0.5708131394722672,0.0,1.0,0.36363636363636365,0.8333333333333334,0.8333333333333334
"27-May, 2018",12:00 AM,41.46,0.0,0,5,27,7,21,0.5750722083516915,0.0,0.0,0.36363636363636365,0.8666666666666667,0.9999999999999999
"27-May, 2018",1:00 AM,38.66,0.0,1,5,27,7,21,0.5613648602340041,0.0,0.043478260869565216,0.36363636363636365,0.8666666666666667,0.9999999999999999
"27-May, 2018",2:00 AM,36.0,0.0,2,5,27,7,21,0.5483428795222011,0.0,0.08695652173913043,0.36363636363636365,0.8666666666666667,0.9999999999999999
"27-May, 2018",3:00 AM,34.97,0.0,3,5,27,7,21,0.5433005336074803,0.0,0.13043478260869565,0.36363636363636365,0.8666666666666667,0.9999999999999999
"27-May, 2018",4:00 AM,34.27,0.0,4,5,27,7,21,0.5398736965780586,0.0,0.17391304347826086,0.36363636363636365,0.8666666666666667,0.9999999999999999
"27-May, 2018",5:00 AM,33.81,0.04,5,5,27,7,21,0.5376217751015814,0.04938271604938271,0.21739130434782608,0.36363636363636365,0.8666666666666667,0.9999999999999999
"27-May, 2018",6:00 AM,37.33,0.11,6,5,27,7,21,0.5548538698781026,0.13580246913580246,0.2608695652173913,0.36363636363636365,0.8666666666666667,0.9999999999999999
"27-May, 2018",7:00 AM,39.62,0.19,7,5,27,7,21,0.5660645224457826,0.2345679012345679,0.30434782608695654,0.36363636363636365,0.8666666666666667,0.9999999999999999
