Date,Time of day,day_price[€/MWh],yes_price[€/MWh],fore_gen[MWh],hour,month,day,norm_dp[€/MWh],norm_yp[€/MWh],norm_fg[MWh],norm_hh,norm_mm,norm_dd
"Apr 13, 2019",8:00 PM,46.28,48.08,0.0,20,4,13,0.6444885799404172,0.6530004255922827,0.0,0.8695652173913043,0.2727272727272727,0.4
"Apr 13, 2019",9:00 PM,43.1,45.36,0.0,21,4,13,0.6294509859554547,0.6401380810516859,0.0,0.9130434782608695,0.2727272727272727,0.4
"Apr 13, 2019",10:00 PM,40.24,45.27,0.0,22,4,13,0.6159266089752684,0.6397124887690926,0.0,0.9565217391304348,0.2727272727272727,0.4
"Apr 13, 2019",11:00 PM,35.08,43.27,0.0,23,4,13,0.5915259847732539,0.630254882489242,0.0,1.0,0.2727272727272727,0.4
"Apr 14, 2019",12:00 AM,36.58,44.78,0.0,0,4,14,0.5986191894831419,0.6373953752305292,0.0,0.0,0.2727272727272727,0.43333333333333335
"Apr 14, 2019",1:00 AM,35.31,43.53,0.0,1,4,14,0.5926136094954367,0.6314843713056226,0.0,0.043478260869565216,0.2727272727272727,0.43333333333333335
"Apr 14, 2019",2:00 AM,35.03,42.36,0.0,2,4,14,0.5912895446162577,0.62595167163191,0.0,0.08695652173913043,0.2727272727272727,0.43333333333333335
"Apr 14, 2019",3:00 AM,36.61,40.11,0.0,3,4,14,0.5987610535773397,0.6153118645670781,0.0,0.13043478260869565,0.2727272727272727,0.43333333333333335
"Apr 14, 2019",4:00 AM,37.23,39.45,0.0,4,4,14,0.6016929115240933,0.6121908544947274,0.0,0.17391304347826086,0.2727272727272727,0.43333333333333335
"Apr 14, 2019",5:00 AM,37.01,40.93,0.0,5,4,14,0.6006525748333098,0.6191894831418169,0.0,0.21739130434782608,0.2727272727272727,0.43333333333333335
"Apr 14, 2019",6:00 AM,37.36,43.78,0.0,6,4,14,0.6023076559322835,0.632666572090604,0.0,0.2608695652173913,0.2727272727272727,0.43333333333333335
"Apr 14, 2019",7:00 AM,38.18,45.1,0.05,7,4,14,0.6061852745070223,0.6389085922353053,0.06172839506172839,0.30434782608695654,0.2727272727272727,0.43333333333333335
"Apr 14, 2019",8:00 AM,40.36,47.28,0.16,8,4,14,0.6164940653520594,0.6492173830803425,0.19753086419753085,0.34782608695652173,0.2727272727272727,0.43333333333333335
"Apr 14, 2019",9:00 AM,39.76,46.96,0.25,9,4,14,0.6136567834681043,0.6477041660755664,0.30864197530864196,0.3913043478260869,0.2727272727272727,0.43333333333333335
"Apr 14, 2019",10:00 AM,37.1,42.45,0.29,10,4,14,0.601078167115903,0.6263772639145033,0.35802469135802467,0.43478260869565216,0.2727272727272727,0.43333333333333335
"Apr 14, 2019",11:00 AM,36.4,39.85,0.32,11,4,14,0.5977680049179553,0.6140823757506976,0.3950617283950617,0.4782608695652174,0.2727272727272727,0.43333333333333335
"Apr 14, 2019",12:00 PM,34.89,38.57,0.35,12,4,14,0.5906275121766682,0.6080295077315931,0.43209876543209874,0.5217391304347826,0.2727272727272727,0.43333333333333335
"Apr 14, 2019",1:00 PM,33.87,38.02,0.37,13,4,14,0.5858041329739443,0.6054286660046343,0.4567901234567901,0.5652173913043478,0.2727272727272727,0.43333333333333335
"Apr 14, 2019",2:00 PM,29.75,37.11,0.41,14,4,14,0.5663214640374522,0.6011254551473023,0.5061728395061728,0.6086956521739131,0.2727272727272727,0.43333333333333335
"Apr 14, 2019",3:00 PM,28.97,36.42,0.34,15,4,14,0.5626329975883104,0.5978625809807538,0.4197530864197531,0.6521739130434783,0.2727272727272727,0.43333333333333335
"Apr 14, 2019",4:00 PM,31.26,35.65,0.29,16,4,14,0.5734619567787393,0.5942214025630114,0.35802469135802467,0.6956521739130435,0.2727272727272727,0.43333333333333335
"Apr 14, 2019",5:00 PM,35.04,37.83,0.19,17,4,14,0.5913368326476569,0.6045301934080485,0.2345679012345679,0.7391304347826086,0.2727272727272727,0.43333333333333335
"Apr 14, 2019",6:00 PM,41.87,43.03,0.08,18,4,14,0.6236345580933467,0.62911996973566,0.09876543209876543,0.7826086956521738,0.2727272727272727,0.43333333333333335
"Apr 14, 2019",7:00 PM,44.7,46.09,0.01,19,4,14,0.6370170709793352,0.6435901073438314,0.012345679012345678,0.8260869565217391,0.2727272727272727,0.43333333333333335
"Apr 14, 2019",8:00 PM,46.74,46.28,0.0,20,4,14,0.6466638293847828,0.6444885799404172,0.0,0.8695652173913043,0.2727272727272727,0.43333333333333335
"Apr 14, 2019",9:00 PM,43.28,43.1,0.0,21,4,14,0.6303021705206413,0.6294509859554547,0.0,0.9130434782608695,0.2727272727272727,0.43333333333333335
"Apr 14, 2019",10:00 PM,38.59,40.24,0.0,22,4,14,0.6081240837943918,0.6159266089752684,0.0,0.9565217391304348,0.2727272727272727,0.43333333333333335
"Apr 14, 2019",11:00 PM,38.11,35.08,0.0,23,4,14,0.6058542582872275,0.5915259847732539,0.0,1.0,0.2727272727272727,0.43333333333333335
"Apr 15, 2019",12:00 AM,35.58,36.58,0.0,0,4,15,0.5938903863432166,0.5986191894831419,0.0,0.0,0.2727272727272727,0.4666666666666667
"Apr 15, 2019",1:00 AM,37.11,35.31,0.0,1,4,15,0.6011254551473023,0.5926136094954367,0.0,0.043478260869565216,0.2727272727272727,0.4666666666666667
"Apr 15, 2019",2:00 AM,37.17,35.03,0.0,2,4,15,0.6014091833356978,0.5912895446162577,0.0,0.08695652173913043,0.2727272727272727,0.4666666666666667
"Apr 15, 2019",3:00 AM,38.9,36.61,0.0,3,4,15,0.6095900127677685,0.5987610535773397,0.0,0.13043478260869565,0.2727272727272727,0.4666666666666667
"Apr 15, 2019",4:00 AM,37.99,37.23,0.0,4,4,15,0.6052868019104365,0.6016929115240933,0.0,0.17391304347826086,0.2727272727272727,0.4666666666666667
"Apr 15, 2019",5:00 AM,42.6,37.01,0.0,5,4,15,0.627086584385492,0.6006525748333098,0.0,0.21739130434782608,0.2727272727272727,0.4666666666666667
"Apr 15, 2019",6:00 AM,50.23,37.36,0.0,6,4,15,0.663167352343122,0.6023076559322835,0.0,0.2608695652173913,0.2727272727272727,0.4666666666666667
"Apr 15, 2019",7:00 AM,58.76,38.18,0.08,7,4,15,0.7035040431266847,0.6061852745070223,0.09876543209876543,0.30434782608695654,0.2727272727272727,0.4666666666666667
"Apr 15, 2019",8:00 AM,60.33,40.36,0.27,8,4,15,0.7109282640563674,0.6164940653520594,0.3333333333333333,0.34782608695652173,0.2727272727272727,0.4666666666666667
"Apr 15, 2019",9:00 AM,47.29,39.76,0.46,9,4,15,0.6492646711117417,0.6136567834681043,0.5679012345679012,0.3913043478260869,0.2727272727272727,0.4666666666666667
"Apr 15, 2019",10:00 AM,43.02,37.1,0.61,10,4,15,0.6290726817042607,0.601078167115903,0.7530864197530863,0.43478260869565216,0.2727272727272727,0.4666666666666667
"Apr 15, 2019",11:00 AM,40.24,36.4,0.71,11,4,15,0.6159266089752684,0.5977680049179553,0.8765432098765431,0.4782608695652174,0.2727272727272727,0.4666666666666667
"Apr 15, 2019",12:00 PM,32.05,34.89,0.77,12,4,15,0.5771977112592803,0.5906275121766682,0.9506172839506173,0.5217391304347826,0.2727272727272727,0.4666666666666667
"Apr 15, 2019",1:00 PM,30.43,33.87,0.77,13,4,15,0.5695370501726014,0.5858041329739443,0.9506172839506173,0.5652173913043478,0.2727272727272727,0.4666666666666667
