Date,Time of day,act_price,fore_gen,fore_price,hour,month,day,weekday,week,norm_ap,norm_fg,norm_fp
"21-Apr, 2018",12:00 PM,21.01,0.05,30.429083666846036,12,4,21,6,16,0.47495961227786765,0.05154639175257733,0.5433800947136006
"21-Apr, 2018",1:00 PM,20.13,0.07,18.520780527468187,13,4,21,6,16,0.4706515885837373,0.07216494845360827,0.48974837950335964
"21-Apr, 2018",2:00 PM,18.96,0.08,7.687770850818829,14,4,21,6,16,0.4649238752631322,0.08247422680412372,0.44095948968020415
"21-Apr, 2018",3:00 PM,20.02,0.08,18.718365708349282,15,4,21,6,16,0.470113085621971,0.08247422680412372,0.49063824870023437
"21-Apr, 2018",4:00 PM,25.94,0.09,24.453804058872308,16,4,21,6,16,0.4990943359279386,0.09278350515463918,0.5164690822472896
"21-Apr, 2018",5:00 PM,26.14,0.1,28.348399793029337,17,4,21,6,16,0.5000734322220591,0.10309278350515466,0.5340092680175557
"21-Apr, 2018",6:00 PM,38.26,0.14,36.43077860248747,18,4,21,6,16,0.5594066676457631,0.14432989690721654,0.5704100745352163
"21-Apr, 2018",7:00 PM,41.24,0.19,38.674702236502256,19,4,21,6,16,0.5739952024281589,0.19587628865979384,0.5805160881195579
"21-Apr, 2018",8:00 PM,41.25,0.25,43.64083862460118,20,4,21,6,16,0.574044157242865,0.2577319587628866,0.6028821976604719
"21-Apr, 2018",9:00 PM,40.08,0.28,45.4992966223395,21,4,21,6,16,0.5683164439222599,0.2886597938144331,0.6112521802598655
"21-Apr, 2018",10:00 PM,36.07,0.28,38.83815138004114,22,4,21,6,16,0.5486855632251433,0.2886597938144331,0.5812522180127118
"21-Apr, 2018",11:00 PM,35.0,0.26,27.41911735271048,23,4,21,6,16,0.5434473980515985,0.2680412371134021,0.5298240360322988
"22-Apr, 2018",12:00 AM,29.02,0.22,36.62652663300139,0,4,22,0,16,0.5141724188573947,0.22680412371134023,0.5712916697131869
"22-Apr, 2018",1:00 AM,19.37,0.19,29.924361950426974,1,4,22,0,16,0.4669310226660793,0.19587628865979384,0.5411069672126806
"22-Apr, 2018",2:00 AM,18.67,0.17,20.94963686453134,2,4,22,0,16,0.46350418563665746,0.17525773195876293,0.5006872790116539
