Date,Time of day,act_price,fore_gen,fore_price,hour,month,day,weekday,week,norm_ap,norm_fg,norm_fp,norm_hh,norm_mm,norm_dd,norm_ww
"1-Apr, 2019",7:00 PM,45.1,0.0,53.541232331007244,19,4,1,1,13,0.6389085922353053,0.0,0.6670283302307184,0.8260869565217391,0.2727272727272727,0.0,0.16666666666666666
"1-Apr, 2019",8:00 PM,45.06,0.0,52.62173797305579,20,4,1,1,13,0.6387194401097083,0.0,0.6628523949362586,0.8695652173913043,0.2727272727272727,0.0,0.16666666666666666
"1-Apr, 2019",9:00 PM,39.41,0.0,37.362183974929394,21,4,1,1,13,0.6120017023691304,0.0,0.5935502729956094,0.9130434782608695,0.2727272727272727,0.0,0.16666666666666666
"1-Apr, 2019",10:00 PM,35.8,0.0,38.347078054161614,22,4,1,1,13,0.5949307230340002,0.0,0.5980232247991781,0.9565217391304348,0.2727272727272727,0.0,0.16666666666666666
"1-Apr, 2019",11:00 PM,30.65,0.0,33.77058182715509,23,4,1,1,13,0.570577386863385,0.0,0.5772388100237614,1.0,0.2727272727272727,0.0,0.16666666666666666
"2-Apr, 2019",12:00 AM,29.11,0.0,33.2511985403527,0,4,2,2,14,0.5632950300279,0.0,0.5748800016417908,0.0,0.2727272727272727,0.03333333333333333,0.3333333333333333
"2-Apr, 2019",1:00 AM,26.93,0.0,31.08203706029511,1,4,2,2,14,0.5529862391828628,0.0,0.5650286328915398,0.043478260869565216,0.2727272727272727,0.03333333333333333,0.3333333333333333
"2-Apr, 2019",2:00 AM,25.43,0.0,28.24450676101308,2,4,2,2,14,0.545893034472975,0.0,0.5521418295920937,0.08695652173913043,0.2727272727272727,0.03333333333333333,0.3333333333333333
"2-Apr, 2019",3:00 AM,25.16,0.0,28.579010667352392,3,4,2,2,14,0.5446162576251952,0.0,0.5536609978790303,0.13043478260869565,0.2727272727272727,0.03333333333333333,0.3333333333333333
"2-Apr, 2019",4:00 AM,27.52,0.0,21.521662886086084,4,4,2,2,14,0.5557762330354188,0.0,0.5216096563670216,0.17391304347826086,0.2727272727272727,0.03333333333333333,0.3333333333333333
"2-Apr, 2019",5:00 AM,31.04,0.0,25.760496199950143,5,4,2,2,14,0.5724216200879558,0.0,0.5408605560485956,0.21739130434782608,0.2727272727272727,0.03333333333333333,0.3333333333333333
"2-Apr, 2019",6:00 AM,40.29,0.04,38.195288665216495,6,4,2,2,14,0.6161630491322647,0.04938271604938271,0.5973338647600012,0.2608695652173913,0.2727272727272727,0.03333333333333333,0.3333333333333333
"2-Apr, 2019",7:00 AM,43.78,0.21,45.30194877076132,7,4,2,2,14,0.632666572090604,0.25925925925925924,0.6296091609636574,0.30434782608695654,0.2727272727272727,0.03333333333333333,0.3333333333333333
"2-Apr, 2019",8:00 AM,43.13,0.39,49.96417351523267,8,4,2,2,14,0.6295928500496525,0.48148148148148145,0.6507829166183597,0.34782608695652173,0.2727272727272727,0.03333333333333333,0.3333333333333333
"2-Apr, 2019",9:00 AM,39.53,0.48,35.34620087904504,9,4,2,2,14,0.6125691587459214,0.5925925925925926,0.5843945724844136,0.3913043478260869,0.2727272727272727,0.03333333333333333,0.3333333333333333
"2-Apr, 2019",10:00 AM,36.68,0.51,38.74201757324842,10,4,2,2,14,0.5990920697971344,0.6296296296296297,0.599816864817379,0.43478260869565216,0.2727272727272727,0.03333333333333333,0.3333333333333333
"2-Apr, 2019",11:00 AM,31.39,0.53,33.6785662116944,11,4,2,2,14,0.5740767011869297,0.654320987654321,0.5768209159356457,0.4782608695652174,0.2727272727272727,0.03333333333333333,0.3333333333333333
"2-Apr, 2019",12:00 PM,29.0,0.55,31.9261683342347,12,4,2,2,14,0.5627748616825082,0.6790123456790124,0.5688623025051903,0.5217391304347826,0.2727272727272727,0.03333333333333333,0.3333333333333333
"2-Apr, 2019",1:00 PM,29.09,0.53,40.08758293883826,13,4,2,2,14,0.5632004539651014,0.654320987654321,0.6059278255346234,0.5652173913043478,0.2727272727272727,0.03333333333333333,0.3333333333333333
"2-Apr, 2019",2:00 PM,29.49,0.45,23.160018011436417,14,4,2,2,14,0.5650919752210716,0.5555555555555556,0.5290503382305319,0.6086956521739131,0.2727272727272727,0.03333333333333333,0.3333333333333333
"2-Apr, 2019",3:00 PM,29.09,0.32,28.46723496534733,15,4,2,2,14,0.5632004539651014,0.3950617283950617,0.5531533622475232,0.6521739130434783,0.2727272727272727,0.03333333333333333,0.3333333333333333
"2-Apr, 2019",4:00 PM,30.1,0.18,28.380487422081025,16,4,2,2,14,0.567976545136426,0.2222222222222222,0.5527593934052994,0.6956521739130435,0.2727272727272727,0.03333333333333333,0.3333333333333333
"2-Apr, 2019",5:00 PM,35.08,0.06,27.962135536195618,17,4,2,2,14,0.5915259847732539,0.07407407407407407,0.5508594248077053,0.7391304347826086,0.2727272727272727,0.03333333333333333,0.3333333333333333
"2-Apr, 2019",6:00 PM,40.73,0.0,46.32430765457007,18,4,2,2,14,0.6182437225138318,0.0,0.6342522612824163,0.7826086956521738,0.2727272727272727,0.03333333333333333,0.3333333333333333
